n_neighbors,n_components,min_dist,min_cluster_size,min_samples,silhouette,num_topics
10,5,0.0,50,15,0.019308604300022125,218
30,15,0.0,50,15,0.018857818096876144,192
10,5,0.0,50,25,0.018669113516807556,210
30,10,0.0,30,25,0.01857220008969307,284
10,15,0.0,100,25,0.018399929627776146,107
10,10,0.0,50,25,0.018335694447159767,208
10,10,0.0,50,15,0.018302051350474358,216
10,10,0.0,50,35,0.01811346970498562,202
10,15,0.0,100,15,0.017996199429035187,113
10,10,0.0,100,25,0.017759617418050766,106
10,15,0.0,50,15,0.01749345473945141,220
10,15,0.0,50,25,0.017475785687565804,213
10,15,0.0,100,35,0.01734994165599346,102
10,5,0.0,50,35,0.017144232988357544,205
10,10,0.0,100,15,0.016920706257224083,114
30,5,0.0,50,15,0.016902262344956398,200
30,15,0.0,100,25,0.01685674488544464,95
30,15,0.0,30,25,0.01674152910709381,285
30,15,0.0,30,35,0.01674104854464531,244
15,10,0.0,50,25,0.016403088346123695,202
30,10,0.0,30,35,0.01627078652381897,245
10,10,0.0,100,35,0.01616796664893627,104
30,10,0.0,100,35,0.016150599345564842,92
30,10,0.0,50,25,0.01613532193005085,189
30,15,0.0,100,35,0.016121866181492805,93
30,15,0.0,30,15,0.01601547561585903,306
15,5,0.0,100,15,0.015997836366295815,108
10,15,0.0,50,35,0.01591525971889496,204
15,5,0.0,50,35,0.015890860930085182,199
30,10,0.0,30,15,0.015737831592559814,308
15,5,0.0,100,25,0.01567874103784561,106
30,15,0.1,30,15,0.015612914226949215,264
15,10,0.0,30,15,0.015364818274974823,347
30,10,0.0,50,15,0.01528091449290514,199
30,10,0.0,50,35,0.015266578644514084,185
30,15,0.0,100,15,0.015217998996376991,100
10,5,0.0,100,15,0.015215613879263401,118
15,10,0.0,100,25,0.015209096483886242,100
15,5,0.0,50,15,0.015112156979739666,216
30,15,0.0,50,25,0.015039948746562004,193
15,15,0.0,50,15,0.015036467462778091,211
10,5,0.0,100,25,0.014989991672337055,113
15,10,0.0,50,15,0.01492497231811285,215
15,15,0.0,50,35,0.014854885637760162,194
30,15,0.0,50,35,0.014829850755631924,183
15,5,0.0,100,35,0.014772087335586548,105
10,15,0.1,100,15,0.014737263321876526,101
30,5,0.0,50,25,0.014697745442390442,191
15,15,0.1,100,15,0.014679402112960815,98
30,15,0.0,10,15,0.014675536192953587,512
30,5,0.0,30,15,0.014507593587040901,308
30,10,0.1,100,25,0.014335401356220245,86
30,10,0.0,100,25,0.014317258261144161,89
15,15,0.0,30,15,0.01430642418563366,337
15,15,0.0,50,25,0.014303801581263542,202
15,15,0.0,100,15,0.014282497577369213,99
30,10,0.0,10,25,0.014248013496398926,345
10,10,0.1,50,15,0.01423813495784998,200
15,5,0.0,30,25,0.014200402423739433,312
10,5,0.1,100,25,0.01419062353670597,102
30,5,0.0,100,25,0.014176425524055958,100
15,15,0.1,50,15,0.014099104329943657,190
30,10,0.1,100,15,0.014095690101385117,87
10,10,0.0,30,35,0.014090253040194511,277
15,10,0.0,50,35,0.014080602675676346,190
10,5,0.0,30,15,0.013755456544458866,350
15,5,0.0,30,15,0.013669129461050034,332
15,5,0.1,50,25,0.013592835515737534,190
15,10,0.0,100,15,0.013545234687626362,105
30,5,0.0,100,15,0.013523222878575325,108
